ID,workID,number,type
731,2151,0212970011,2
732,2156,8772883111,2
733,2157,0472106589,2
734,2158,1900188147,2
735,2161,8886192045,2
736,2164,0816606366,2
737,2165,019727000X,2
738,2166,0198142668,2
739,2167,0198148100,2
740,2168,9062580580,2
741,2169,5020099473,2
742,2170,3806203644,2
743,2171,8843532103,2
744,2174,8871400399,2
745,2175,8870628027,2
746,2176,3402058448,2
747,2180,0198149336,2
748,2181,3110066637,2
749,2183,3879402272,2
750,2185,8385018018,2
751,2188,8301083891,2
752,2191,0710077149,2
753,2193,3920153626,2
754,2194,8870628736,2
755,2197,8824039537,2
756,2199,0198149212,2
757,2200,2708400924,2
758,2201,3803017610,2
760,2203,2735503550,2
761,2205,3803010357,2
762,2206,3803010225,2
763,2207,091188632X,2
764,2209,0520076850,2
765,2214,0520073827,2
766,2215,9062552005,2
767,2218,900768258,2
768,2222,9185058645,2
769,2223,0904531600,2
770,2225,0856684252,2
771,2227,380530403X,2
772,2231,0521393264,2
773,2233,0904152286,2
774,2235,9004072438,2
775,2236,3534093887,2
776,2242,3406004911,2
777,2243,8474881250,2
778,2245,0521360269,2
779,2247,0853232385,2
780,2249,0865162433,2
781,2250,9025607934,2
782,2251,2869580142,2
783,2256,0897571061,2
784,2258,0860544389,2
785,2267,0884022218,2
786,2268,3406075983,2
787,2269,0500050414,2
788,2270,0500390274,2
789,2272,2717102132,2
790,2273,0713432381,2
791,2278,3406004970,2
792,2279,3805310846,2
793,2282,2222043727,2
794,2284,3854540787,2
795,2292,0907764053,2
796,2295,8460061019,2
797,2302,0952107317,2
798,2304,0904152316,2
799,2305,0904857018,2
800,2306,0907764207,2
801,2312,0860541193,2
802,2313,9050633161,2
803,2314,2222047293,2
804,2317,2222021898,2
805,2318,2222032334,2
806,2325,3805300697,2
807,2329,071903647X,2
808,2331,3770116569,2
809,2333,0500050724,2
810,2334,0860547353,2
811,2340,3150102626,2
812,2342,0198140045,2
813,2343,0801843006,2
814,2344,0713420774,2
815,2345,0713458607,2
816,2351,2869580150,2
817,2352,0405102852,2
818,2357,0906780519,2
819,2362,2222038669,2
820,2364,2903399018,2
821,2367,8870625214,2
822,2368,9170810583,2
823,2369,3515027610,2
824,2370,3805315449,2
825,2372,0674968506,2
826,2374,041510243X,2
827,2375,2708982400,2
828,2380,2728301336,2
829,2384,9050633269,2
830,2389,3700127669,2
831,2391,3900305196,2
832,2394,3774923949,2
833,2395,3406429246,2
834,2397,0567022420,2
835,2398,0951037749,2
836,2400,0801405491,2
837,2404,198215452,2
838,2405,0860542319,2
839,2407,388226246X,2
840,2408,0884021165,2
841,2409,0884021157,2
842,2410,0884021521,2
843,2411,2251604766,2
844,2415,0788504460,2
845,2416,0198148682,2
846,2421,9057890011,2
847,2422,9057890259,2
848,2423,3406080634,2
849,2429,0907041078,2
850,2431,2728303177,2
851,2432,1856287076,2
852,2434,090453166X,2
853,2435,0802059481,2
854,2437,9630513072,2
855,2438,3406304532,2
856,2439,9170810680,2
857,2440,086054804X,2
858,2450,0674046269,2
859,2452,0198131909,2
860,2454,0950802611,2
861,2455,0900341246,2
862,2460,0198149433,2
863,2461,2705306706,2
864,2468,0691035938,2
865,2472,3882260017,2
866,2473,0862998786,2
867,2475,3700127332,2
868,2476,0198143931,2
869,2477,9004104488,2
870,2480,0876615140,2
871,2485,3803010365,2
872,2488,2222015898,2
873,2489,0897221923,2
874,2490,0571098029,2
875,2492,9652210161,2
876,2496,3406345689,2
877,2498,3406079814,2
878,2499,3806203512,2
879,2500,2735102505,2
880,2501,2877721639,2
881,2504,2222046017,2
882,2507,9004104844,2
883,2509,8870970345,2
884,2511,902560790X,2
885,2517,2222017254,2
886,2518,8460491196,2
887,2519,0860542904,2
888,2520,380531910X,2
889,2521,3806204888,2
890,2522,0521073553,2
891,2526,8872281652,2
892,2527,3803017181,2
893,2529,3803017246,2
894,2533,3805310374,2
895,2535,0713473193,2
896,2536,3805307888,2
897,2537,2724700503,2
898,2538,3515041834,2
899,2540,3774924287,2
900,2541,0965402916,2
901,2543,9635631219,2
902,2545,9525323048,2
903,2548,1405101857,2
904,2549,1842170368,2
905,2550,3805302509,2
906,2551,9652210447,2
907,2552,9652743445,2
908,2553,0810848465,2
909,2555,9058095401,2
910,2556,0520200985,2
911,2558,0876615183,2
912,2559,0804708983,2
913,2560,3884670034,2
914,2564,019822799X,2
915,2565,0890031126,2
916,2567,0870993895,2
917,2569,3110083108,2
918,2570,3406376193,2
919,2572,0520052978,2
920,2573,0710062850,2
921,2574,0631146717,2
922,2575,0952107309,2
923,2576,0856680788,2
924,2577,0856686581,2
925,2579,0246113960,2
926,2582,9185058785,2
927,2583,0946897972,2
928,2584,340632357X,2
929,2585,0932206808,2
930,2588,0888540191,2
931,2590,3700103050,2
932,2594,3533035131,2
933,2596,0198148690,2
934,2597,2222044146,2
935,2598,2735502015,2
936,2599,2859440852,2
937,2603,3900518017,2
938,2605,0759104077,2
939,2606,3830910673,2
940,2608,0947816518,2
941,2610,2728303983,2
942,2611,3805328923,2
943,2612,2744903833,2
944,2614,3406107524,2
945,2615,1902771168,2
946,2617,1901992284,2
947,2619,8479085924,2
948,2621,9170421544,2
949,2622,3805328222,2
950,2625,9050630863,2
951,2627,2903264023,2
952,2630,089130262X,2
953,2642,0860543978,2
954,2645,0226005003,2
955,2646,5901006127,2
956,2658,3792701944,2
957,2668,2903264139,2
958,2669,0713473126,2
959,2677,090559407X,2
960,2685,8440410476,2
961,2690,0860546829,2
962,2692,380530756X,2
963,2694,2869580266,2
964,2699,2877720926,2
965,2702,2801700614,2
966,2706,0890054827,2
967,2712,379270868X,2
968,2716,3882264853,2
969,2717,0870571184,2
970,2718,380531793X,2
971,2721,3447026723,2
972,2732,3447028629,2
973,2738,2503505848,2
974,2742,0691099170,2
975,2744,0790514257,2
976,2748,3496004541,2
977,2750,9608501938,2
978,2755,883175470X,2
979,2758,1555406424,2
980,2760,8886166362,2
981,2763,3805309376,2
982,2774,5648008872,2
983,2780,2110810424,2
984,2785,3805302762,2
985,2787,3525251467,2
986,2789,9073782708,2
987,2790,0907132324,2
989,2794,1555407935,2
990,2796,2705301216,2
991,2798,8831753916,2
992,2799,9607094018,2
993,2802,0790525534,2
994,2823,3920153464,2
995,2831,0949003131,2
996,2834,0802052258,2
997,2839,270530262X,2
998,2840,3925036342,2
999,2842,0299126404,2
1000,2844,3786115303,2
1001,2845,3786123179,2
1002,2846,0916710432,2
1003,2847,3786115966,2
1004,2867,3487118475,2
1005,2869,8843016474,2
1006,2872,2842871774,2
1007,2873,075242906X,2
1008,2875,1844010090,2
1009,2877,2903189668,2
1010,2880,9025611133,2
1011,2881,8886359322,2
1012,2882,8882652106,2
1013,2883,2903264740,2
1015,2885,8842026905,2
1016,2886,9004101969,2
1017,2887,0860540804,2
1018,2888,2701800269,2
1019,2890,2222047137,2
1020,2891,0860543129,2
1021,2892,0819124486,2
1022,2895,2708947192,2
1023,2897,190018852X,2
1024,2900,0856680842,2
1026,2902,1873132018,2
1027,2905,0947816445,2
1028,2907,0198217390,2
1029,2908,3786118604,2
1030,2910,0500990417,2
1031,2913,0814316840,2
1032,2914,086054303X,2
1033,2915,9963557082,2
1034,2921,2222031656,2
1035,2922,2701800943,2
1036,2925,8822238249,2
1037,2926,2903189382,2
1038,2929,2728303150,2
1039,2931,2735502414,2
1040,2932,0710208952,2
1041,2933,2903189390,2
1044,2938,8880861506,2
1045,2940,2851210513,2
1046,2941,2728301832,2
1047,2942,2724701399,2
1048,2944,2251605088,2
1049,2945,0859893642,2
1050,2946,0121983803,2
1051,2948,502009479X,2
1052,2954,3805309333,2
1053,2956,0860541274,2
1054,2957,8478200517,2
1055,2965,3803017149,2
1056,2966,0860541983,2
1057,2967,3774925240,2
1058,2968,0813113709,2
1059,2969,1898249032,2
1060,2970,8876420711,2
1061,971,8870629848,2
1062,2974,2903264449,2
1063,2975,2908912236,2
1064,2978,830108748X,2
1065,2983,2903442436,2
1067,2989,3525824262,2
1068,2991,8843550225,2
1069,2994,2853990532,2
1070,2995,0931464196,2
1071,2997,9062584047,2
1072,3009,9053562370,2
1073,3011,271650041X,2
1074,3013,019814928X,2
1075,3014,2869581602,2
1076,3015,3900538042,2
1077,3016,1898249113,2
1078,3017,8748006262,2
1079,3018,0860547000,2
1080,3019,3924734194,2
1082,3022,0840365381,2
1083,3025,380621171X,2
1084,3026,2735501159,2
1085,3027,3792712520,2
1086,3029,3525823762,2
1087,3030,8811885132,2
1088,3032,019814864X,2
1089,3033,0631127305,2
1090,3034,8873432336,2
1091,3035,0788503936,2
1092,3037,0874745268,2
1093,3039,2222040744,2
1094,3044,0714112925,2
1095,3046,3496026073,2
1096,3048,8843511564,2
1097,3049,8822244664,2
1098,3051,0946897891,2
1099,3052,0892414235,2
1100,3053,0904887294,2
1101,3055,0860543285,2
1102,3059,8870626628,2
1103,3061,9068318446,2
1104,3062,2251604278,2
1105,3064,8882690245,2
1106,3065,2251328459,2
1107,3066,2701800757,2
1108,3067,0906090121,2
1109,3070,2728301395,2
1110,3071,9071211193,2
1111,3072,0894681958,2
1112,3077,8822239040,2
1113,3078,1887829199,2
1114,3079,8871230086,2
1115,3082,0802000339,2
1116,3084,8773042919,2
1117,3087,2904337156,2
1118,3091,9004103783,2
1119,3092,185075666X,2
1120,3094,9630513013,2
1121,3095,8877510684,2
1122,3097,284050054X,2
1123,3099,8880800043,2
1124,3104,9004077928,2
1125,3107,9519690220,2
1126,3110,2222030919,2
1127,3112,3774926484,2
1128,3113,3428046013,2
1129,3115,0917956729,2
1130,3116,3443210406,2
1131,3121,1900188023,2
1132,3122,8823600456,2
1133,3124,0860542890,2
1134,3127,0860541266,2
1135,3128,2708923722,2
1136,3132,3928034715,2
1137,3133,9061865298,2
1138,3135,3515064982,2
1139,3136,0946172250,2
1140,3139,2906160105,2
1141,3141,0860541207,2
1142,3143,9024737931,2
1143,3146,5376008029,2
1144,3147,9068310461,2
1145,3149,8487342922,2
1146,3150,2222041139,2
1147,3152,3496007443,2
1148,3153,3700119739,2
1149,3155,8880800108,2
1150,3158,2903264155,2
1151,3159,8885085059,2
1152,3162,8876441093,2
1153,3164,0236176803,2
1154,3165,8390050404,2
1155,3168,3803010403,2
1156,3169,0691035946,2
1157,3170,0860540855,2
1158,3171,0878500804,2
1159,3173,3792704986,2
1160,3175,3786112037,2
1161,3176,3921533309,2
1162,3180,906258067X,2
1163,3183,0856680834,2
1164,3187,3805305583,2
1165,3188,2222029295,2
1166,3190,3412850748,2
1167,3192,9652237337,2
1168,3193,8842206989,2
1169,3212,8300010521,2
1170,3214,8323203784,2
1171,3215,8323205957,2
1172,3216,9150605704,2
1173,3218,0415150906,2
1174,3222,3406337333,2
1175,3228,3805311087,2
1176,3230,3906290271,2
1177,3233,847506177X,2
1178,3238,9652170631,2
1179,3242,9602201274,2
1180,3243,3205042867,2
1181,3245,3786117012,2
1182,3246,5806603210,2
1183,3261,2908774100,2
1184,3262,3924734372,2
1185,3263,2904638563,2
1186,3267,2728301492,2
1187,3269,2877720616,2
1188,3271,8876810986,2
1189,3277,8874486049,2
1190,3281,2251013326,2
1191,3282,0713460466,2
1192,3283,2251602364,2
1193,3284,2859980970,2
1194,3286,0198140312,2
1195,3291,3792708760,2
1196,3296,3950009108,2
1197,3299,380530871X,2
1198,3301,8842026581,2
1199,3305,0860547590,2
1200,3307,2735105032,2
1201,3312,3515040811,2
1202,3314,8304032503,2
1203,3317,2906190055,2
1204,3322,2907597019,2
1205,3325,2877720756,2
1206,3327,8477230218,2
1207,3329,8450547520,2
1208,3332,3786113327,2
1209,3340,3882264675,2
1210,3343,2222034108,2
1211,3354,3806204950,2
1212,3360,867131037X,2
1213,3364,3882260181,2
1214,3365,2724701437,2
1215,3368,8750025597,2
1216,3372,351506804X,2
1217,3374,552000479X,2
1218,3375,5110007012,2
1219,3377,3882260785,2
1220,3378,5020094390,2
1221,3381,5020094137,2
1222,3385,512001531X,2
1223,3389,290230966X,2
1224,3390,2110808551,2
1225,3395,3412034924,2
1226,3396,5511004804,2
1227,3397,3527175318,2
1228,3399,9732703237,2
1229,3404,5020272264,2
1230,3406,5857590841,2
1231,3407,5020272639,2
1232,3410,3806205981,2
1233,3411,8440068719,2
1234,3416,2904974075,2
1235,3423,8750031600,2
1236,3425,8450097037,2
1237,3426,8450553032,2
1238,3428,290619011X,2
1239,3432,2904974024,2
1240,3433,290619008X,2
1241,3445,5833802806,2
1242,3453,8870970213,2
1243,3459,2735106365,2
1244,3466,5120006809,2
1245,3468,5020094382,2
1246,3476,2251004467,2
1247,3478,0904152235,2
1248,3480,8772885033,2
1249,3481,0860544117,2
1250,3491,8870581373,2
1251,3500,9029099178,2
1252,3504,3784750672,2
1253,3507,0903101602,2
1254,3512,3878386303,2
1255,3513,3896463071,2
1256,3520,1841715077,2
1257,3521,0752425080,2
1258,3522,8843014242,2
1259,3524,2735504573,2
1260,3526,3515080538,2
1261,3527,3525539703,2
1262,3529,3805330901,2
1263,3530,0752414216,2
1264,3532,8871401964,2
1265,3533,3882262346,2
1266,3539,8824004709,2
1267,3547,2857444966,2
1268,3548,2717712372,2
1269,3554,888524002X,2
